 Maintaining 16 concurrent writes of 2097152 bytes for up to 300 seconds or 0 objects
 Object prefix: benchmark_data_aa3eaa203d62_1740
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   275      16     11360     11344   82.4714        86  0.802543  0.387612
   276      16     11402     11386   82.4769        84  0.900351  0.387446
   277      16     11440     11424   82.4535        76   1.16325  0.387363
   278      16     11484     11468   82.4734        88   0.12788   0.38751
   279      16     11526     11510   82.4789        84  0.534431  0.387578
2014-11-25 18:55:08.308160min lat: 0.064394 max lat: 2.85898 avg lat: 0.387482
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   280      16     11569     11553   82.4914        86  0.118818  0.387482
   281      16     11610     11594   82.4896        82  0.069615  0.387135
   282      16     11650     11634   82.4807        80  0.207531  0.387252
   283      16     11684     11668   82.4295        68  0.153399  0.387662
   284      16     11728     11712   82.4491        88  0.149188  0.387634
   285      16     11770     11754   82.4545        84  0.119889  0.387678
   286      16     11804     11788    82.404        68  0.087713  0.387317
   287      16     11841     11825   82.3747        74   1.67738  0.387622
   288      15     11882     11867   82.3803        84  0.257813  0.388175
   289      16     11924     11908   82.3789        82  0.887025  0.387979
   290      16     11964     11948   82.3707        80  0.134828  0.387942
   291      15     12010     11995   82.4106        94  0.201538  0.387977
   292      16     12045     12029   82.3612        68  0.192974  0.388088
   293      16     12086     12070   82.3599        82  0.644058  0.388072
   294      16     12128     12112   82.3655        84  0.152569  0.387943
   295      16     12169     12153   82.3642        82  0.326269  0.388055
   296      16     12207     12191   82.3426        76   1.19835  0.388129
   297      16     12246     12230    82.328        78  0.346084  0.388181
   298      16     12287     12271   82.3269        82  0.572871  0.388373
   299      16     12327     12311   82.3191        80  0.134367  0.388214
2014-11-25 18:55:28.310853min lat: 0.064394 max lat: 2.85898 avg lat: 0.388167
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   300      16     12367     12351   82.3113        80  0.251187  0.388167
 Total time run:         300.512390
Total writes made:      12367
Write size:             2097152
Bandwidth (MB/sec):     82.306 

Stddev Bandwidth:       8.11884
Max bandwidth (MB/sec): 100
Min bandwidth (MB/sec): 0
Average Latency:        0.38878
Stddev Latency:         0.373804
Max latency:            2.85898
Min latency:            0.064394
