 Maintaining 16 concurrent writes of 4096 bytes for up to 300 seconds or 0 objects
 Object prefix: benchmark_data_aac91394a5b2_365
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    38      16     39022     39006   4.00919  0.542969  0.255873  0.015273
    39      16     39083     39067    3.9125  0.238281  0.001854 0.0156264
2014-11-25 06:17:26.483960min lat: 0.00152 max lat: 4.87046 avg lat: 0.0156264
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    40      16     39083     39067   3.81469         0         - 0.0156264
    41      16     39084     39068   3.721740.00195312   2.37404 0.0156868
    42      16     39168     39152   3.64094  0.328125  0.001939 0.0169514
    43      16     39253     39237   3.56399  0.332031   0.00205 0.0172673
    44      16     39270     39254    3.4845 0.0664062  0.002603 0.0173969
    45      15     39346     39331   3.41375  0.300781  0.003174 0.0183047
    46      16     39554     39538   3.35712  0.808594  0.001678 0.0185253
    47      16     40049     40033   3.32682   1.93359  0.002227 0.0187805
    48      16     40342     40326   3.28136   1.14453  0.002046 0.0189771
    49      16     40773     40757   3.24875   1.68359  0.001823 0.0191911
    50      16     41249     41233   3.22096   1.85938  0.002225 0.0193912
    51      16     41394     41378    3.1689  0.566406  0.001945 0.0196225
    52      16     41437     41421   3.11119  0.167969  0.001805 0.0197348
    53      16     41775     41759    3.0774   1.32031  0.001735   0.02016
    54      16     41775     41759   3.02041         0         -   0.02016
    55      16     41816     41800   2.96841 0.0800781  0.003108 0.0204867
    56      16     42311     42295   2.94993   1.93359  0.001742  0.021083
    57      16     42495     42479   2.91078   0.71875  0.001801 0.0213285
    58      16     42792     42776    2.8806   1.16016  0.001913 0.0216109
    59      16     42887     42871   2.83806  0.371094  0.002294 0.0218053
2014-11-25 06:17:46.486165min lat: 0.00152 max lat: 4.87046 avg lat: 0.0220996
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    60      16     43142     43126   2.80736  0.996094  0.001758 0.0220996
    61      16     43159     43143   2.76243 0.0664062  0.002291 0.0221601
    62      16     43261     43245    2.7243  0.398438  0.002335  0.022894
    63      16     43261     43245   2.68105         0         -  0.022894
    64      16     43261     43245   2.63916         0         -  0.022894
    65      16     43576     43560   2.61749  0.410156  0.264466 0.0237887
    66      16     43795     43779   2.59079  0.855469   0.00213 0.0240094
    67      16     44201     44185   2.57579   1.58594  0.118088 0.0242121
    68      16     44699     44683   2.56651   1.94531  0.001838 0.0242871
    69      16     45048     45032   2.54907   1.36328  0.001792 0.0244044
    70      16     45057     45041   2.51316 0.0351562  0.001844 0.0244199
    71      16     45745     45729   2.51561    2.6875  0.100996 0.0248168
    72      16     46051     46035   2.49727   1.19531  0.001697  0.024949
    73      15     47138     47123   2.52128      4.25  0.010281 0.0247828
    74      16     48339     48323   2.55054    4.6875  0.002448 0.0244347
    75      15     49038     49023   2.55299   2.73438  0.013377 0.0244772
    76      16     49967     49951   2.56709     3.625  0.418312 0.0243233
    77      16     51966     51950   2.63515   7.80859  0.002416 0.0237108
    78      16     52784     52768   2.64233   3.19531  0.004808 0.0236502
    79      16     53106     53090    2.6248   1.25781  0.002125 0.0236156
2014-11-25 06:18:06.488375min lat: 0.001515 max lat: 4.87046 avg lat: 0.0232533
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    80      16     55041     55025   2.68646   7.55859   0.00275 0.0232533
    81      16     56838     56822   2.73995   7.01953  0.001987 0.0227468
    82      16     57799     57783   2.75231   3.75391  0.003113 0.0227055
    83      16     59832     59816   2.81482   7.94141  0.002008  0.022199
    84      16     60036     60020   2.79079  0.796875  0.002298 0.0223095
    85      16     61367     61351   2.81912   5.19922  0.002841 0.0221604
    86      16     63190     63174   2.86913   7.12109  0.002598 0.0217754
    87      16     65219     65203   2.92724   7.92578  0.051924 0.0213396
    88      16     67057     67041   2.97556   7.17969  0.001938  0.020952
    89      16     67058     67042   2.942170.00390625  0.921537 0.0209655
    90      16     67069     67053   2.90996 0.0429688    0.0028 0.0211007
    91      16     67404     67388   2.89236   1.30859  0.009311 0.0216061
    92      15     69206     69191   2.93746   7.04297  0.003543 0.0212727
    93      16     69295     69279   2.90957   0.34375  0.001741 0.0212492
    94      16     69319     69303   2.87962   0.09375  0.002475 0.0215609
    95      16     70230     70214   2.88676   3.55859  0.002236 0.0216406
    96      16     70817     70801   2.88057   2.29297  0.001744  0.021634
    97      16     71081     71065   2.86151   1.03125  0.001711 0.0217777
    98      16     71494     71478   2.84877   1.61328   0.00223 0.0219347
    99      16     71963     71947    2.8385   1.83203  0.002046 0.0218607
2014-11-25 06:18:26.490605min lat: 0.001515 max lat: 4.87046 avg lat: 0.022059
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   100      16     72304     72288   2.82343   1.33203  0.002049  0.022059
   101      16     72593     72577   2.80665   1.12891  0.005592 0.0222429
   102      16     72593     72577   2.77914         0         - 0.0222429
   103      16     72593     72577   2.75215         0         - 0.0222429
   104      16     72593     72577   2.72569         0         - 0.0222429
   105      16     72593     72577   2.69973         0         - 0.0222429
   106      16     73535     73519   2.70897  0.735938  0.002428 0.0229261
   107      16     73822     73806   2.69413   1.12109    0.0022 0.0230667
   108      16     73849     73833   2.67016  0.105469  0.001838 0.0231654
   109      16     73986     73970   2.65057  0.535156  0.002229 0.0234068
   110      16     73986     73970   2.62648         0         - 0.0234068
   111      16     74470     74454   2.61985  0.945312  0.002345 0.0238135
   112      16     74574     74558   2.60008   0.40625  0.001928 0.0237839
   113      16     74671     74655   2.58043  0.378906  0.002173  0.023916
   114      16     75235     75219   2.57711   2.20312  0.002288 0.0241067
   115      16     75480     75464   2.56303  0.957031  0.002339  0.024273
   116      16     75480     75464   2.54093         0         -  0.024273
   117      16     75480     75464   2.51921         0         -  0.024273
   118      16     75480     75464   2.49786         0         -  0.024273
   119      16     75652     75636   2.48252  0.167969   0.00195 0.0251076
2014-11-25 06:18:46.492843min lat: 0.001515 max lat: 4.87046 avg lat: 0.0251149
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   120      16     75654     75638    2.4619 0.0078125  0.002262 0.0251149
   121      16     75654     75638   2.44155         0         - 0.0251149
   122      16     75654     75638   2.42154         0         - 0.0251149
   123      16     75654     75638   2.40185         0         - 0.0251149
   124      16     76146     76130   2.39798  0.480469  0.002294 0.0259511
   125      16     76468     76452   2.38885   1.25781  0.001994 0.0261169
   126      16     76531     76515   2.37185  0.246094  0.002071  0.026245
   127      16     76682     76666   2.35782  0.589844  0.003224 0.0263313
   128      16     76682     76666    2.3394         0         - 0.0263313
   129      16     76990     76974   2.33059  0.601562  0.002244 0.0267498
   130      16     76990     76974   2.31266         0         - 0.0267498
   131      16     76999     76983   2.29527 0.0175781  0.002056 0.0267685
   132      16     77253     77237    2.2854  0.992188  0.125925 0.0272857
   133      16     77253     77237   2.26822         0         - 0.0272857
   134      16     77253     77237   2.25129         0         - 0.0272857
   135      16     77253     77237   2.23462         0         - 0.0272857
   136      16     77253     77237   2.21818         0         - 0.0272857
   137      16     77253     77237   2.20199         0         - 0.0272857
   138      16     77253     77237   2.18604         0         - 0.0272857
   139      16     77827     77811   2.18644  0.320312  0.003182 0.0284924
2014-11-25 06:19:06.495045min lat: 0.001515 max lat: 6.45874 avg lat: 0.028686
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   140      16     78085     78069   2.17802   1.00781  0.002244  0.028686
   141      16     78210     78194   2.16603  0.488281  0.002372 0.0286908
   142      16     78424     78408   2.15667  0.835938  0.002004 0.0289579
   143      16     78448     78432   2.14224   0.09375   0.00257 0.0290826
   144      16     78504     78488   2.12888   0.21875  0.002452 0.0291386
   145      16     78504     78488    2.1142         0         - 0.0291386
   146      16     78584     78568   2.10186   0.15625  0.002009 0.0295447
   147      16     78735     78719   2.09158  0.589844  0.001937 0.0298421
   148      16     78773     78757   2.07845  0.148438  0.002196 0.0299595
   149      16     78792     78776     2.065 0.0742188  0.002337 0.0299609
   150      16     78792     78776   2.05123         0         - 0.0299609
   151      16     78837     78821   2.03881 0.0878906  0.001987 0.0303876
   152      16     78837     78821    2.0254         0         - 0.0303876
   153      16     78837     78821   2.01216         0         - 0.0303876
   154      16     78837     78821   1.99909         0         - 0.0303876
   155      16     78837     78821    1.9862         0         - 0.0303876
   156      16     78837     78821   1.97346         0         - 0.0303876
   157      16     79033     79017   1.96577  0.127604  0.001907 0.0316094
   158      16     79060     79044     1.954  0.105469  0.001957 0.0316762
   159      16     79276     79260   1.94701   0.84375  0.002066 0.0320647
2014-11-25 06:19:26.497072min lat: 0.001515 max lat: 9.23286 avg lat: 0.0321216
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   160      16     79520     79504    1.9408  0.953125  0.001749 0.0321216
   161      16     79648     79632   1.93185       0.5  0.001924 0.0322747
   162      16     79878     79862   1.92547  0.898438  0.002089 0.0323384
   163      16     79908     79892   1.91438  0.117188  0.514561 0.0323868
   164      16     79908     79892    1.9027         0         - 0.0323868
   165      16     79908     79892   1.89117         0         - 0.0323868
   166      16     79908     79892   1.87978         0         - 0.0323868
   167      16     80051     80035   1.87187  0.139648  0.001994 0.0332942
   168      16     80051     80035   1.86073         0         - 0.0332942
   169      16     80051     80035   1.84972         0         - 0.0332942
   170      16     80295     80279   1.84444  0.317708  0.001971 0.0338742
   171      16     80295     80279   1.83366         0         - 0.0338742
   172      16     80467     80451    1.8269  0.335938  0.002218  0.034105
   173      16     80774     80758   1.82327   1.19922  0.003104   0.03426
   174      16     80799     80783   1.81336 0.0976562  0.001939 0.0342784
   175      16     80878     80862   1.80476  0.308594  0.001697 0.0343366
   176      16     80937     80921   1.79581  0.230469  0.002347 0.0346546
   177      16     80937     80921   1.78567         0         - 0.0346546
   178      16     80937     80921   1.77563         0         - 0.0346546
   179      16     80937     80921   1.76571         0         - 0.0346546
2014-11-25 06:19:46.499072min lat: 0.001515 max lat: 9.23286 avg lat: 0.0346546
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   180      16     80937     80921   1.75591         0         - 0.0346546
   181      16     81169     81153   1.75121   0.18125  0.001892 0.0356591
   182      16     81169     81153   1.74159         0         - 0.0356591
   183      16     81169     81153   1.73207         0         - 0.0356591
   184      16     81296     81280   1.72535  0.165365  0.002249 0.0361867
   185      16     81309     81293    1.7163 0.0507812  0.001706  0.036219
   186      16     81532     81516   1.71176  0.871094  0.002093 0.0363729
   187      16     81730     81714   1.70674  0.773438   0.00209 0.0365696
   188      16     81806     81790   1.69924  0.296875  0.002201 0.0366548
   189      16     81806     81790   1.69025         0         - 0.0366548
   190      16     81810     81794   1.68144 0.0078125  0.002376 0.0366949
   191      16     81810     81794   1.67263         0         - 0.0366949
   192      16     81810     81794   1.66392         0         - 0.0366949
   193      16     81810     81794    1.6553         0         - 0.0366949
   194      15     82004     81989   1.65069   0.19043  0.003558 0.0378604
   195      16     82183     82167   1.64579  0.695312  0.113453 0.0378221
   196      16     82183     82167    1.6374         0         - 0.0378221
   197      16     82183     82167   1.62908         0         - 0.0378221
   198      16     82183     82167   1.62086         0         - 0.0378221
   199      16     82457     82441   1.61809  0.267578  0.002135 0.0385557
2014-11-25 06:20:06.501185min lat: 0.001515 max lat: 9.23286 avg lat: 0.038723
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   200      16     82574     82558   1.61228  0.457031  0.002549  0.038723
   201      16     82682     82666   1.60636  0.421875  0.001901 0.0387722
   202      16     82721     82705   1.59916  0.152344  0.002033 0.0389502
   203      16     82889     82873   1.59452   0.65625  0.002367 0.0390303
   204      16     82903     82887   1.58697 0.0546875  0.002218 0.0390754
   205      16     82916     82900   1.57948 0.0507812  0.002087 0.0391587
   206      16     82916     82900   1.57181         0         - 0.0391587
   207      16     82916     82900   1.56422         0         - 0.0391587
   208      16     82916     82900    1.5567         0         - 0.0391587
   209      16     82954     82938   1.54996 0.0371094  0.002098 0.0399795
   210      16     82954     82938   1.54258         0         - 0.0399795
   211      16     82954     82938   1.53527         0         - 0.0399795
   212      16     82954     82938   1.52802         0         - 0.0399795
   213      16     82954     82938   1.52085         0         - 0.0399795
   214      16     83258     83242   1.51929    0.2375  0.597629 0.0410281
   215      16     83259     83243   1.512240.00390625  0.514881 0.0410338
   216      16     83259     83243   1.50524         0         - 0.0410338
   217      16     83276     83260   1.49861 0.0332031  0.002214 0.0410916
   218      16     83276     83260   1.49174         0         - 0.0410916
   219      16     83276     83260   1.48493         0         - 0.0410916
2014-11-25 06:20:26.503207min lat: 0.001515 max lat: 9.75774 avg lat: 0.0410916
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   220      16     83276     83260   1.47818         0         - 0.0410916
   221      16     83332     83316   1.47248 0.0546875  0.002265 0.0421549
   222      16     83332     83316   1.46585         0         - 0.0421549
   223      16     83332     83316   1.45927         0         - 0.0421549
   224      16     83635     83619   1.45804  0.394531  0.002139 0.0427683
   225      16     83747     83731   1.45351    0.4375  0.002233 0.0429578
   226      16     83789     83773    1.4478  0.164062  0.002064 0.0429755
   227      16     83903     83887   1.44338  0.445312  0.002238 0.0431445
   228      16     83903     83887   1.43705         0         - 0.0431445
   229      16     83908     83892   1.430860.00976562  0.002577 0.0432165
   230      16     83911     83895   1.42469 0.0117188  0.002115 0.0432495
   231      16     83911     83895   1.41853         0         - 0.0432495
   232      16     83911     83895   1.41241         0         - 0.0432495
   233      16     83911     83895   1.40635         0         - 0.0432495
   234      16     84205     84189   1.40525  0.287109  0.001994 0.0444367
   235      16     84226     84210   1.39962 0.0820312  0.001931 0.0444437
   236      16     84226     84210   1.39369         0         - 0.0444437
   237      16     84226     84210   1.38781         0         - 0.0444437
   238      16     84226     84210   1.38197         0         - 0.0444437
   239      16     84516     84500   1.38093  0.283203  0.001939 0.0451117
2014-11-25 06:20:46.505176min lat: 0.001515 max lat: 9.75774 avg lat: 0.0451258
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   240      16     84518     84502   1.37521 0.0078125  0.002329 0.0451258
   241      16     84621     84605   1.37117  0.402344  0.001878  0.045572
   242      16     84628     84612   1.36562 0.0273438  0.002175   0.04557
   243      16     84628     84612      1.36         0         -   0.04557
   244      16     84628     84612   1.35443         0         -   0.04557
   245      16     84628     84612    1.3489         0         -   0.04557
   246      16     84628     84612   1.34341         0         -   0.04557
   247      16     84628     84612   1.33798         0         -   0.04557
   248      16     84889     84873   1.33669  0.169922  0.646373 0.0466036
   249      16     84953     84937   1.33233      0.25  0.002808 0.0467534
   250      16     84989     84973   1.32756  0.140625  0.002249 0.0468898
   251      16     84989     84973   1.32227         0         - 0.0468898
   252      16     85148     85132   1.31949  0.310547  0.002097 0.0473125
   253      16     85207     85191   1.31518  0.230469  0.007015 0.0475194
   254      16     85504     85488   1.31457   1.16016  0.002326 0.0474065
   255      15     85795     85780   1.31389   1.14062  0.001947 0.0475491
   256      16     85899     85883   1.31033  0.402344  0.002066 0.0475874
   257      16     86137     86121   1.30885  0.929688  0.002138 0.0477407
   258      16     86140     86124   1.30382 0.0117188  0.002876 0.0477542
   259      16     86143     86127   1.29883 0.0117188   0.00213 0.0477598
2014-11-25 06:21:06.507187min lat: 0.001515 max lat: 9.75774 avg lat: 0.0477598
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   260      16     86143     86127   1.29384         0         - 0.0477598
   261      16     86428     86412   1.29314  0.556641  0.063508 0.0483039
   262      16     86428     86412   1.28821         0         - 0.0483039
   263      16     86428     86412   1.28331         0         - 0.0483039
   264      16     86428     86412   1.27845         0         - 0.0483039
   265      16     86428     86412   1.27363         0         - 0.0483039
   266      16     86428     86412   1.26884         0         - 0.0483039
   267      16     86660     86644   1.26748  0.151042  0.001897 0.0492936
   268      16     86660     86644   1.26275         0         - 0.0492936
   269      16     87110     87094   1.26459  0.878906  0.001896 0.0493291
   270      16     87124     87108   1.26011 0.0546875  0.002038 0.0493972
   271      16     87125     87109   1.255470.00390625   0.00198 0.0493966
   272      16     87152     87136   1.25124  0.105469  0.001856 0.0495106
   273      16     87152     87136   1.24666         0         - 0.0495106
   274      16     87152     87136   1.24211         0         - 0.0495106
   275      16     87152     87136    1.2376         0         - 0.0495106
   276      16     87469     87453    1.2376   0.30957  0.010493 0.0504342
   277      16     87542     87526   1.23416  0.285156  0.002093 0.0505607
   278      16     87603     87587   1.23058  0.238281  0.002263 0.0506168
   279      16     87609     87593   1.22625 0.0234375  0.002556 0.0506205
2014-11-25 06:21:26.509200min lat: 0.001515 max lat: 9.75774 avg lat: 0.0506205
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   280      16     87609     87593   1.22187         0         - 0.0506205
   281      16     87609     87593   1.21752         0         - 0.0506205
   282      16     87609     87593    1.2132         0         - 0.0506205
   283      16     87621     87605   1.20908 0.0117188   0.00995 0.0509922
   284      16     87621     87605   1.20483         0         - 0.0509922
   285      16     88042     88026   1.20637  0.822266  0.002307 0.0517273
   286      16     88530     88514   1.20881   1.90625  0.001874 0.0516831
   287      16     88536     88520   1.20468 0.0234375  0.003432 0.0516798
   288      16     88586     88570   1.20118  0.195312  0.001945 0.0518739
   289      16     88602     88586   1.19724    0.0625   1.13631 0.0520282
   290      16     88639     88623   1.19361  0.144531   0.00184 0.0521427
   291      16     88639     88623   1.18951         0         - 0.0521427
   292      16     88639     88623   1.18543         0         - 0.0521427
   293      16     88639     88623   1.18139         0         - 0.0521427
   294      16     88819     88803   1.17976  0.175781  0.003642  0.052974
   295      16     89357     89341   1.18289   2.10156  0.002142 0.0528102
   296      16     89357     89341   1.17889         0         - 0.0528102
   297      16     89378     89362    1.1752 0.0410156   0.53091 0.0528564
   298      16     89725     89709    1.1758   1.35547  0.001975 0.0530305
   299      16     89725     89709   1.17187         0         - 0.0530305
 Total time run:         300.015139
Total writes made:      89726
Write size:             4096
Bandwidth (MB/sec):     1.168 

Stddev Bandwidth:       2.13018
Max bandwidth (MB/sec): 9.43359
Min bandwidth (MB/sec): 0
Average Latency:        0.0534969
Stddev Latency:         0.396319
Max latency:            9.75774
Min latency:            0.001515
