 Maintaining 16 concurrent writes of 4096 bytes for up to 300 seconds or 0 objects
 Object prefix: benchmark_data_aac91394a5b2_768
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
    84      15     39990     39975   1.85876  0.441406  0.734108 0.0335634
    85      16     40143     40127   1.84387   0.59375  0.284159 0.0335667
    86      16     40143     40127   1.82243         0         - 0.0335667
    87      16     40143     40127   1.80149         0         - 0.0335667
    88      16     40143     40127   1.78101         0         - 0.0335667
    89      16     40143     40127     1.761         0         - 0.0335667
    90      16     40318     40302   1.74903  0.136719  0.001735  0.035705
    91      15     40704     40689   1.74642   1.51172  0.002206 0.0357488
    92      16     41093     41077   1.74391   1.51562  0.174711 0.0357634
    93      16     41231     41215   1.73096  0.539062  0.003615 0.0360584
    94      16     41348     41332    1.7174  0.457031  0.030657 0.0362858
    95      16     41398     41382   1.70138  0.195312  0.002067 0.0363624
    96      16     41500     41484   1.68781  0.398438  0.001944 0.0367644
    97      16     41503     41487   1.67053 0.0117188   0.00231  0.036813
    98      16     41503     41487   1.65348         0         -  0.036813
    99      16     41503     41487   1.63678         0         -  0.036813
2014-11-25 06:24:02.899378min lat: 0.001526 max lat: 15.7064 avg lat: 0.036813
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   100      16     41503     41487   1.62041         0         -  0.036813
   101      16     41503     41487   1.60437         0         -  0.036813
   102      16     41503     41487   1.58864         0         -  0.036813
   103      16     41503     41487   1.57321         0         -  0.036813
   104      16     41503     41487   1.55809         0         -  0.036813
   105      16     41653     41637   1.54883 0.0732422  0.002497 0.0403003
   106      16     41705     41689   1.53613  0.203125  0.002334 0.0404869
   107      16     42054     42038   1.53452   1.36328  0.002151 0.0405161
   108      16     42054     42038   1.52031         0         - 0.0405161
   109      16     42054     42038   1.50636         0         - 0.0405161
   110      16     42054     42038   1.49267         0         - 0.0405161
   111      16     42054     42038   1.47922         0         - 0.0405161
   112      16     42054     42038   1.46601         0         - 0.0405161
   113      16     42054     42038   1.45304         0         - 0.0405161
   114      16     42054     42038   1.44029         0         - 0.0405161
   115      16     42113     42097   1.42977 0.0288086  0.001942 0.0435684
   116      16     42113     42097   1.41745         0         - 0.0435684
   117      16     42563     42547   1.42035  0.878906  0.003016 0.0439974
   118      16     42652     42636   1.41126  0.347656  0.598914 0.0440181
   119      16     43040     43024   1.41214   1.51562  0.003463 0.0442498
2014-11-25 06:24:22.901419min lat: 0.001515 max lat: 15.7064 avg lat: 0.0443844
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   120      16     43121     43105   1.40301  0.316406  0.003776 0.0443844
   121      16     43340     43324   1.39848  0.855469  0.002006 0.0445927
   122      16     43340     43324   1.38702         0         - 0.0445927
   123      16     43340     43324   1.37574         0         - 0.0445927
   124      16     43340     43324   1.36465         0         - 0.0445927
   125      16     43340     43324   1.35373         0         - 0.0445927
   126      16     43340     43324   1.34299         0         - 0.0445927
   127      16     43340     43324   1.33241         0         - 0.0445927
   128      16     43340     43324     1.322         0         - 0.0445927
   129      16     43393     43377   1.31336 0.0258789  0.002053 0.0475554
   130      16     43614     43598    1.3099  0.863281  0.003151 0.0476686
   131      16     43850     43834   1.30693  0.921875  0.002356  0.047567
   132      16     43850     43834   1.29703         0         -  0.047567
   133      16     43850     43834   1.28728         0         -  0.047567
   134      16     43856     43840   1.27785 0.0078125  0.002045 0.0476265
   135      16     43979     43963   1.27194  0.480469   0.00196 0.0490846
   136      15     44455     44440   1.27629   1.86328  0.003273 0.0489667
   137      16     44949     44933   1.28103   1.92578  0.002306 0.0487513
   138      16     45296     45280   1.28157   1.35547  0.002446 0.0487608
   139      16     45922     45906   1.28994   2.44531  0.002413 0.0482125
2014-11-25 06:24:42.903428min lat: 0.001515 max lat: 15.7064 avg lat: 0.0483157
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   140      16     46264     46248   1.29027   1.33594  0.002398 0.0483157
   141      16     46264     46248   1.28111         0         - 0.0483157
   142      16     46264     46248   1.27209         0         - 0.0483157
   143      16     46264     46248    1.2632         0         - 0.0483157
   144      16     46264     46248   1.25442         0         - 0.0483157
   145      16     46264     46248   1.24577         0         - 0.0483157
   146      16     46264     46248   1.23724         0         - 0.0483157
   147      16     46931     46915   1.24655   0.37221  0.002131 0.0499783
   148      16     47466     47450   1.25224   2.08984  0.002176 0.0498152
   149      16     49428     49412   1.29527   7.66406  0.005346  0.048249
   150      16     51637     51621   1.34415   8.62891  0.004326 0.0464945
   151      16     54223     54207   1.40214   10.1016  0.003749 0.0445691
   152      16     54614     54598   1.40297   1.52734  0.002808 0.0444392
   153      16     55121     55105   1.40674   1.98047  0.002089  0.044334
   154      16     55211     55195   1.39989  0.351562  0.001858 0.0444413
   155      16     55211     55195   1.39086         0         - 0.0444413
   156      16     55211     55195   1.38194         0         - 0.0444413
   157      16     55211     55195   1.37314         0         - 0.0444413
   158      16     55211     55195   1.36445         0         - 0.0444413
   159      16     55211     55195   1.35587         0         - 0.0444413
2014-11-25 06:25:02.905531min lat: 0.001515 max lat: 15.7064 avg lat: 0.0444413
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   160      16     55211     55195   1.34739         0         - 0.0444413
   161      16     55211     55195   1.33902         0         - 0.0444413
   162      16     55211     55195   1.33076         0         - 0.0444413
   163      16     55489     55473   1.32925   0.12066  0.006273  0.047016
   164      16     57451     57435   1.36788   7.66406  0.002548 0.0456248
   165      16     58815     58799   1.39187   5.32812  0.003401 0.0448341
   166      16     60286     60270    1.4181   5.74609  0.002442 0.0440359
   167      16     62629     62613   1.46441   9.15234  0.002935 0.0426732
   168      16     65198     65182   1.51542   10.0352  0.002171 0.0412399
   169      15     67287     67272   1.55475   8.16406  0.004695 0.0401962
   170      16     68013     67997   1.56227   2.83203  0.002031 0.0398383
   171      16     68262     68246   1.55882  0.972656   0.00379 0.0400633
   172      15     68911     68896   1.56451   2.53906  0.007904 0.0399365
   173      16     69155     69139   1.56096  0.949219    0.0023 0.0398232
   174      16     69155     69139   1.55199         0         - 0.0398232
   175      16     69850     69834   1.55863   1.35742  0.002084 0.0399455
   176      16     69859     69843   1.54997 0.0351562  0.002336 0.0399682
   177      16     69859     69843   1.54122         0         - 0.0399682
   178      16     69859     69843   1.53256         0         - 0.0399682
   179      16     69859     69843     1.524         0         - 0.0399682
2014-11-25 06:25:22.907741min lat: 0.001515 max lat: 15.7064 avg lat: 0.0399682
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   180      16     69859     69843   1.51553         0         - 0.0399682
   181      16     69859     69843   1.50716         0         - 0.0399682
   182      16     69861     69845   1.498920.00130208   0.01004 0.0400653
   183      16     69861     69845   1.49073         0         - 0.0400653
   184      16     69861     69845   1.48263         0         - 0.0400653
   185      16     69861     69845   1.47461         0         - 0.0400653
   186      16     70296     70280   1.47582  0.424805  0.003212 0.0423434
   187      16     71473     71457   1.49251   4.59766  0.002341 0.0418662
   188      16     71478     71462   1.48467 0.0195312  0.002448 0.0418732
   189      16     71478     71462   1.47682         0         - 0.0418732
   190      16     71478     71462   1.46905         0         - 0.0418732
   191      16     72121     72105    1.4745   0.83724  0.002852 0.0423414
   192      16     72789     72773   1.48041   2.60938  0.002063  0.042175
   193      16     73793     73777   1.49306   3.92188  0.001886 0.0418216
   194      16     73891     73875   1.48734  0.382812  0.002233 0.0418333
   195      16     73998     73982   1.48185  0.417969  0.001845 0.0419219
   196      16     73998     73982   1.47429         0         - 0.0419219
   197      16     74015     73999   1.46715 0.0332031  0.002145 0.0421352
   198      16     74547     74531   1.47023   2.07812  0.002045 0.0423603
   199      16     74823     74807   1.46826   1.07812  0.002008 0.0424681
2014-11-25 06:25:42.909965min lat: 0.001515 max lat: 15.7064 avg lat: 0.0424533
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   200      16     75248     75232   1.46922   1.66016  0.002085 0.0424533
   201      16     75251     75235   1.46197 0.0117188  0.002121 0.0424607
   202      16     75255     75239   1.45481  0.015625  0.002469 0.0424777
   203      16     75255     75239   1.44764         0         - 0.0424777
   204      16     75255     75239   1.44054         0         - 0.0424777
   205      16     75551     75535   1.43916  0.385417  0.002369 0.0433888
   206      16     75551     75535   1.43217         0         - 0.0433888
   207      16     75551     75535   1.42525         0         - 0.0433888
   208      16     75735     75719   1.42185  0.239583  0.002495  0.043953
   209      16     76371     76355   1.42694   2.48438   0.00195 0.0436432
   210      16     76473     76457   1.42204  0.398438  0.004279 0.0438167
   211      16     76592     76576    1.4175  0.464844  0.001907  0.043864
   212      16     76674     76658   1.41233  0.320312  0.002243 0.0439031
   213      16     76930     76914   1.41039         1  0.002992 0.0442871
   214      16     77217     77201   1.40904   1.12109   0.00185 0.0442846
   215      16     77726     77710   1.41173   1.98828   0.00328 0.0441645
   216      16     78094     78078   1.41185    1.4375  0.002477 0.0442173
   217      16     78133     78117   1.40605  0.152344  0.002347  0.044286
   218      16     78181     78165   1.40046    0.1875  0.001951 0.0442743
   219      16     78430     78414    1.3985  0.972656  0.001989 0.0445862
2014-11-25 06:26:02.912096min lat: 0.001515 max lat: 15.7064 avg lat: 0.0446432
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   220      16     78451     78435   1.39252 0.0820312  0.003838 0.0446432
   221      16     78451     78435   1.38622         0         - 0.0446432
   222      16     78603     78587   1.38265  0.296875  0.017839 0.0451993
   223      16     78829     78813   1.38041  0.882812   0.00329 0.0451972
   224      16     78944     78928   1.37625  0.449219  0.001923 0.0452455
   225      16     78944     78928   1.37013         0         - 0.0452455
   226      16     78994     78978   1.36493 0.0976562  0.002003 0.0455807
   227      16     79334     79318   1.36477   1.32812   0.00184 0.0457188
   228      16     79359     79343   1.35921 0.0976562  0.002276 0.0457834
   229      16     79359     79343   1.35328         0         - 0.0457834
   230      16     79377     79361    1.3477 0.0351562   0.00208 0.0459465
   231      16     79377     79361   1.34187         0         - 0.0459465
   232      16     79498     79482   1.33812  0.236328  0.001851 0.0466117
   233      16     79542     79526   1.33311  0.171875  0.002111 0.0467253
   234      16     79542     79526   1.32742         0         - 0.0467253
   235      16     79542     79526   1.32177         0         - 0.0467253
   236      16     79542     79526   1.31617         0         - 0.0467253
   237      16     79608     79592    1.3117 0.0644531   0.00189   0.04745
   238      16     79633     79617    1.3066 0.0976562  0.002567 0.0476779
   239      16     79788     79772   1.30367  0.605469  0.001844 0.0477792
2014-11-25 06:26:22.914229min lat: 0.001515 max lat: 15.7064 avg lat: 0.0477792
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   240      16     79788     79772   1.29823         0         - 0.0477792
   241      16     79788     79772   1.29285         0         - 0.0477792
   242      16     79815     79799   1.28794 0.0351562  0.002461 0.0481394
   243      16     79964     79948   1.28504  0.582031  0.004834 0.0486337
   244      16     80091     80075    1.2818  0.496094  0.002159 0.0487401
   245      16     80094     80078   1.27662 0.0117188  0.261446 0.0487439
   246      16     80094     80078   1.27143         0         - 0.0487439
   247      16     80094     80078   1.26628         0         - 0.0487439
   248      16     80094     80078   1.26117         0         - 0.0487439
   249      16     80260     80244   1.25871  0.162109  0.002038 0.0496091
   250      16     80338     80322    1.2549  0.304688  0.002089  0.049701
   251      16     80338     80322    1.2499         0         -  0.049701
   252      16     80338     80322   1.24494         0         -  0.049701
   253      16     80338     80322   1.24002         0         -  0.049701
   254      16     80338     80322   1.23514         0         -  0.049701
   255      16     80585     80569   1.23407  0.192969  0.001947 0.0505399
   256      16     80798     80782    1.2325  0.832031  0.001894 0.0505792
   257      16     80822     80806   1.22807   0.09375  0.002253 0.0505749
   258      16     80822     80806   1.22331         0         - 0.0505749
   259      16     80822     80806   1.21859         0         - 0.0505749
2014-11-25 06:26:42.916400min lat: 0.001515 max lat: 15.7064 avg lat: 0.051374
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   260      16     80934     80918   1.21559  0.145833  0.002087  0.051374
   261      16     80938     80922   1.21099  0.015625  0.002213 0.0513869
   262      16     80940     80924    1.2064 0.0078125   0.00222 0.0514024
   263      16     80940     80924   1.20181         0         - 0.0514024
   264      16     81053     81037   1.19893  0.220703  0.002632  0.052065
   265      16     81056     81040   1.19445 0.0117188  0.002325 0.0520756
   266      16     81056     81040   1.18996         0         - 0.0520756
   267      16     81056     81040    1.1855         0         - 0.0520756
   268      16     81133     81117    1.1822   0.10026   0.00233 0.0528622
   269      16     81141     81125   1.17792   0.03125  0.002074 0.0528772
   270      16     81200     81184   1.17441  0.230469  0.002227 0.0530267
   271      16     81200     81184   1.17008         0         - 0.0530267
   272      16     81200     81184   1.16578         0         - 0.0530267
   273      16     81200     81184   1.16151         0         - 0.0530267
   274      16     81307     81291   1.15879  0.104492  0.002234 0.0538939
   275      16     81389     81373   1.15574  0.320312   0.00186 0.0539561
   276      16     81413     81397    1.1519   0.09375     0.002 0.0539622
   277      16     81413     81397   1.14774         0         - 0.0539622
   278      16     81413     81397   1.14361         0         - 0.0539622
   279      16     81575     81559   1.14178  0.210938  0.002263 0.0546901
2014-11-25 06:27:02.918533min lat: 0.001515 max lat: 15.7064 avg lat: 0.0547048
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   280      16     81580     81564   1.13777 0.0195312  0.002317 0.0547048
   281      16     81580     81564   1.13372         0         - 0.0547048
   282      16     81580     81564    1.1297         0         - 0.0547048
   283      16     81719     81703   1.12763   0.18099  0.002367 0.0553467
   284      16     81719     81703   1.12366         0         - 0.0553467
   285      16     81719     81703   1.11971         0         - 0.0553467
   286      16     81719     81703    1.1158         0         - 0.0553467
   287      16     81719     81703   1.11191         0         - 0.0553467
   288      16     81719     81703   1.10805         0         - 0.0553467
   289      16     81982     81966   1.10777  0.171224  0.002231 0.0563434
   290      16     82150     82134   1.10621   0.65625  0.002394 0.0564785
   291      16     82150     82134   1.10241         0         - 0.0564785
   292      16     82226     82210   1.09965  0.148438  0.002136 0.0567337
   293      16     82226     82210    1.0959         0         - 0.0567337
   294      16     82226     82210   1.09217         0         - 0.0567337
   295      16     82226     82210   1.08847         0         - 0.0567337
   296      16     82226     82210   1.08479         0         - 0.0567337
   297      16     82226     82210   1.08114         0         - 0.0567337
   298      16     82226     82210   1.07751         0         - 0.0567337
   299      16     82226     82210   1.07391         0         - 0.0567337
2014-11-25 06:27:22.920848min lat: 0.001515 max lat: 15.7064 avg lat: 0.0583366
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   300      16     82288     82272   1.07113 0.0302734  0.002499 0.0583366
   301      16     82288     82272   1.06758         0         - 0.0583366
   302      16     82288     82272   1.06404         0         - 0.0583366
 Total time run:         302.326466
Total writes made:      82289
Write size:             4096
Bandwidth (MB/sec):     1.063 

Stddev Bandwidth:       2.18429
Max bandwidth (MB/sec): 11.1875
Min bandwidth (MB/sec): 0
Average Latency:        0.0587812
Stddev Latency:         0.527433
Max latency:            15.7064
Min latency:            0.001515
