 Maintaining 16 concurrent writes of 4194304 bytes for up to 300 seconds or 0 objects
 Object prefix: benchmark_data_c26ec1c5d7b4_8048
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
2014-11-23 11:37:46.841113min lat: 0.0827 max lat: 15.8715 avg lat: 2.29299
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   140      16       952       936   26.7278         0         -   2.29299
   141      16       957       941   26.6801        10  0.084173   2.31705
   142      16       957       941   26.4923         0         -   2.31705
   143      16       964       948   26.5028        14  0.098171   2.33449
   144      16       983       967   26.8463        76  0.107733   2.37087
   145      16      1023      1007   27.7641       160  0.364989   2.30094
   146      16      1046      1030   28.2038        92  0.425683   2.26192
   147      16      1059      1043   28.3656        52  0.118048   2.23847
   148      16      1059      1043    28.174         0         -   2.23847
   149      16      1062      1046   28.0655         6   3.35764   2.24173
   150      16      1062      1046   27.8785         0         -   2.24173
   151      16      1062      1046   27.6939         0         -   2.24173
   152      16      1067      1051   27.6433   6.66667   0.14477   2.24742
   153      16      1067      1051   27.4627         0         -   2.24742
   154      16      1075      1059   27.4921        16  0.083749   2.25293
   155      16      1079      1063    27.418        16  0.098679   2.26905
   156      16      1079      1063   27.2423         0         -   2.26905
   157      16      1082      1066   27.1453         6   10.3263   2.29183
   158      16      1087      1071      27.1        20  0.084213   2.28159
   159      16      1087      1071   26.9297         0         -   2.28159
2014-11-23 11:38:06.843451min lat: 0.0827 max lat: 15.8715 avg lat: 2.29257
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   160      16      1097      1081   27.0113        20  0.084871   2.29257
   161      16      1097      1081   26.8436         0         -   2.29257
   162      16      1101      1085   26.7767         8  0.105753   2.31555
   163      16      1101      1085   26.6124         0         -   2.31555
   164      16      1104      1088   26.5234         6   10.5775    2.3403
   165      16      1105      1089   26.3869         4  0.099342   2.33825
   166      16      1105      1089    26.228         0         -   2.33825
   167      16      1111      1095   26.2147        12  0.148943   2.35797
   168      16      1111      1095   26.0587         0         -   2.35797
   169      16      1130      1114    26.354        38  0.193305   2.41519
   170      16      1138      1122   26.3872        32    5.9966   2.40458
   171      16      1147      1131   26.4434        36   2.00347   2.40416
   172      16      1148      1132   26.3129         4  0.136666   2.40215
   173      16      1151      1135   26.2302        12   3.80538   2.40586
   174      16      1151      1135   26.0795         0         -   2.40586
   175      16      1169      1153   26.3418        36  0.189258   2.41907
   176      16      1192      1176   26.7146        92  0.193817   2.38885
   177      16      1211      1195   26.9929        76   1.61456   2.36075
   178      16      1220      1204   27.0435        36  0.084842   2.34859
   179      16      1229      1213   27.0935        36   2.65304   2.34359
2014-11-23 11:38:26.845937min lat: 0.0827 max lat: 15.8715 avg lat: 2.34102
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   180      16      1237      1221   27.1207        32  0.144607   2.34102
   181      16      1247      1231   27.1918        40  0.084559   2.33471
   182      16      1247      1231   27.0425         0         -   2.33471
   183      16      1269      1253   27.3754        44   0.10479   2.32351
   184      16      1276      1260   27.3788        28   0.08922   2.31754
   185      16      1276      1260   27.2308         0         -   2.31754
   186      16      1279      1263    27.149         6   3.43487    2.3213
   187      16      1279      1263   27.0038         0         -    2.3213
   188      16      1285      1269   26.9878        12  0.088314   2.32371
   189      16      1285      1269   26.8451         0         -   2.32371
   190      16      1285      1269   26.7039         0         -   2.32371
   191      16      1290      1274   26.6688   6.66667  0.121436   2.33303
   192      16      1290      1274   26.5299         0         -   2.33303
   193      16      1301      1285   26.6204        22  0.084101   2.33659
   194      16      1301      1285   26.4832         0         -   2.33659
   195      16      1318      1302    26.696        34   4.79683    2.3913
   196      16      1345      1329   27.1106       108  0.263779   2.35338
   197      16      1356      1340   27.1963        44  0.148747   2.33834
   198      16      1356      1340    27.059         0         -   2.33834
   199      16      1363      1347   27.0637        14   0.08665   2.33469
2014-11-23 11:38:46.848466min lat: 0.0827 max lat: 15.8715 avg lat: 2.32969
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   200      16      1366      1350   26.9884        12  0.083323   2.32969
   201      16      1366      1350   26.8541         0         -   2.32969
   202      16      1366      1350   26.7212         0         -   2.32969
   203      16      1366      1350   26.5897         0         -   2.32969
   204      16      1374      1358   26.6161         8  0.084686   2.33382
   205      16      1374      1358   26.4863         0         -   2.33382
   206      16      1374      1358   26.3578         0         -   2.33382
   207      16      1374      1358   26.2305         0         -   2.33382
   208      16      1380      1364   26.2198         6  0.105523   2.34947
   209      16      1380      1364   26.0944         0         -   2.34947
   210      16      1385      1369   26.0653        10   0.12124   2.37127
   211      16      1385      1369   25.9418         0         -   2.37127
   212      16      1385      1369   25.8195         0         -   2.37127
   213      16      1385      1369   25.6983         0         -   2.37127
   214      16      1385      1369   25.5783         0         -   2.37127
   215      16      1390      1374   25.5523         4  0.083499   2.40177
   216      16      1390      1374   25.4341         0         -   2.40177
   217      16      1390      1374   25.3169         0         -   2.40177
   218      16      1394      1378   25.2742   5.33333  0.100327   2.43778
   219      16      1406      1390   25.3779        48  0.084564   2.49799
2014-11-23 11:39:06.850777min lat: 0.0827 max lat: 21.2997 avg lat: 2.50815
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   220      16      1409      1393   25.3171        12   5.84903   2.50815
   221      16      1410      1394   25.2206         4  0.105678   2.50643
   222      16      1410      1394   25.1071         0         -   2.50643
   223      16      1418      1402    25.138        16  0.083987   2.50478
   224      16      1418      1402   25.0258         0         -   2.50478
   225      16      1424      1408   25.0212        12  0.099398   2.50878
   226      16      1424      1408   24.9105         0         -   2.50878
   227      16      1424      1408   24.8008         0         -   2.50878
   228      16      1430      1414   24.7973         8  0.083794    2.5178
   229      16      1430      1414    24.689         0         -    2.5178
   230      16      1430      1414   24.5817         0         -    2.5178
   231      16      1437      1421   24.5965   9.33333  0.091092   2.53056
   232      16      1437      1421   24.4905         0         -   2.53056
   233      16      1450      1434   24.6085        26  0.146728    2.5762
   234      15      1479      1464    25.016       120  0.342657   2.55358
   235      16      1501      1485   25.2669        84  0.138436   2.52566
   236      16      1530      1514   25.6512       116  0.256963    2.4901
   237      16      1542      1526   25.7454        48  0.128367   2.47243
   238      16      1548      1532   25.7381        24  0.088911   2.46744
   239      16      1548      1532   25.6304         0         -   2.46744
2014-11-23 11:39:26.853314min lat: 0.0827 max lat: 21.2997 avg lat: 2.46918
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   240      16      1552      1536   25.5903         8  0.145722   2.46918
   241      16      1552      1536   25.4841         0         -   2.46918
   242      16      1556      1540   25.4449         8  0.145795   2.47451
   243      16      1556      1540   25.3403         0         -   2.47451
   244      16      1556      1540   25.2364         0         -   2.47451
   245      16      1562      1546   25.2314         8  0.088599   2.48064
   246      16      1562      1546   25.1288         0         -   2.48064
   247      16      1567      1551   25.1081        10  0.084523   2.49205
   248      16      1567      1551   25.0068         0         -   2.49205
   249      16      1571      1555   24.9707         8  0.144221   2.50857
   250      16      1572      1556   24.8868         4  0.083683   2.50701
   251      16      1572      1556   24.7877         0         -   2.50701
   252      16      1578      1562   24.7845        12  0.148872   2.52165
   253      16      1578      1562   24.6866         0         -   2.52165
   254      16      1583      1567   24.6682        10  0.123169   2.53803
   255      16      1583      1567   24.5714         0         -   2.53803
   256      16      1583      1567   24.4755         0         -   2.53803
   257      16      1589      1573   24.4736         8  0.099956   2.55288
   258      16      1589      1573   24.3788         0         -   2.55288
   259      16      1594      1578   24.3619        10  0.084001   2.56937
2014-11-23 11:39:46.855742min lat: 0.0827 max lat: 21.2997 avg lat: 2.56937
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   260      16      1594      1578   24.2682         0         -   2.56937
   261      16      1594      1578   24.1752         0         -   2.56937
   262      16      1600      1584   24.1746         8  0.084636   2.58437
   263      16      1604      1588   24.1435        16  0.117355   2.60117
   264      16      1605      1589   24.0672         4  0.146532   2.59962
   265      16      1605      1589   23.9764         0         -   2.59962
   266      16      1614      1598   24.0216        18  0.085002   2.60859
   267      16      1614      1598   23.9316         0         -   2.60859
   268      16      1618      1602    23.902         8  0.144964   2.62531
   269      16      1618      1602   23.8132         0         -   2.62531
   270      16      1625      1609   23.8287        14  0.148375   2.65368
   271      16      1645      1629   24.0359        80   0.13004   2.65329
   272      16      1670      1654    24.315       100  0.127111   2.62553
