 Maintaining 16 concurrent writes of 4096 bytes for up to 300 seconds or 0 objects
 Object prefix: benchmark_data_aa3eaa203d62_461
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   155      15     92670     92655    2.3348   3.85156   0.00274 0.0267658
   156      16     93405     93389   2.33821   2.86719   0.00204 0.0266259
   157      16     93793     93777   2.33297   1.51562  0.011694 0.0266633
   158      16     93793     93777   2.31821         0         - 0.0266633
   159      16     95546     95530   2.34669   3.42383  0.001844 0.0266147
2014-11-25 13:40:48.855537min lat: 0.001532 max lat: 65.5564 avg lat: 0.0264233
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   160      16     96560     96544   2.35677   3.96094  0.002215 0.0264233
   161      16     96579     96563    2.3426 0.0742188  0.001901 0.0264826
   162      16     97031     97015   2.33903   1.76562  0.003532 0.0267157
   163      15     98249     98234   2.35389   4.76172  0.016379 0.0265486
   164      16     99696     99680   2.37398   5.64844   0.00471 0.0263242
   165      16    101843    101827   2.41041   8.38672  0.003258  0.025926
   166      16    103740    103724   2.44053   7.41016  0.005288 0.0256032
   167      16    104338    104322    2.4399   2.33594  0.048603  0.025546
   168      16    105152    105136    2.4443   3.17969  0.002234 0.0255521
   169      16    105179    105163   2.43046  0.105469  0.002142 0.0255474
   170      16    105194    105178   2.41651 0.0585938   2.12995 0.0257459
   171      16    106480    106464   2.43175   5.02344  0.041451 0.0256973
   172      16    107324    107308   2.43678   3.29688  0.001967 0.0255957
   173      16    107328    107312   2.42278  0.015625  0.002398 0.0256039
   174      16    107546    107530   2.41375  0.851562  0.001987 0.0258881
   175      16    108919    108903   2.43061   5.36328  0.001757 0.0257093
   176      16    109798    109782    2.4363   3.43359  0.002067 0.0256461
   177      16    110933    110917   2.44758   4.43359   0.05859 0.0255317
   178      16    112084    112068   2.45909   4.49609  0.090857 0.0254093
   179      16    113181    113165   2.46929   4.28516  0.002131 0.0253055
2014-11-25 13:41:08.857835min lat: 0.001498 max lat: 65.5564 avg lat: 0.0253109
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   180      16    113679    113663   2.46637   1.94531  0.001961 0.0253109
