   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
2014-11-25 22:08:11.727052min lat: 0.050984 max lat: 8.46891 avg lat: 0.755049
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   160      16      3381      3365    84.111        76   0.13307  0.755049
   161      16      3399      3383   84.0357        72  0.209347  0.754422
   162      16      3415      3399    83.912        64   4.65306  0.753872
   163      16      3427      3411   83.6916        48  0.060033  0.754191
   164      16      3431      3415   83.2789        16  0.257747  0.757103
   165      16      3450      3434   83.2347        76  0.123099  0.758097
   166      16      3462      3446   83.0224        48  0.090673  0.759825
   167      16      3486      3470      83.1        96  0.067274   0.76007
   168      16      3506      3490   83.0815        80   1.43471    0.7614
   169      16      3530      3514   83.1579        96  0.143388  0.758159
   170      16      3538      3522   82.8569        32  0.139727  0.761569
   171      16      3551      3535   82.6765        52  0.142392  0.764076
   172      16      3566      3550   82.5446        60  0.468068  0.766656
   173      16      3592      3576   82.6685       104  0.240389  0.766243
   174      16      3611      3595   82.6301        76   1.36473  0.766736
   175      16      3629      3613   82.5692        72   1.24671  0.768984
   176      16      3652      3636   82.6227        92  0.220591  0.768683
   177      16      3679      3663    82.766       108  0.137393  0.767057
   178      16      3698      3682   82.7279        76    1.2223  0.767552
   179      16      3725      3709    82.869       108   3.85284  0.768524
2014-11-25 22:08:31.729973min lat: 0.050336 max lat: 8.46891 avg lat: 0.766719
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   180      16      3742      3726   82.7864        68  0.158275  0.766719
   181      16      3771      3755   82.9698       116   1.95833  0.768663
   182      16      3798      3782   83.1072       108   3.76873  0.768235
   183      16      3827      3811   83.2869       116  0.176915  0.766946
   184      16      3854      3838   83.4211       108  0.131264  0.764488
   185      16      3881      3865   83.5539       108  0.175127  0.763771
   186      16      3910      3894   83.7282       116   0.87267  0.762685
   187      16      3935      3919   83.8151       100  0.428239   0.76045
   188      16      3963      3947    83.965       112   2.13567  0.759618
   189      16      3990      3974   84.0921       108  0.593758  0.759374
 Total time run:        189.653716
Total reads made:     3992
Read size:            4194304
Bandwidth (MB/sec):    84.196 

Average Latency:       0.75976
Max latency:           8.46891
Min latency:           0.050336
